Profile,Manufacturer,Model,Width,Height,Palette,Gamma,PPI,Screen Size (in),Year
FR,Amazon,Fire (all),600,1024,16,1.0,171,7.0,
FHD,Amazon,Fire HD (all),800,1280,16,1.0,252,6.0,
FHDX,Amazon,Fire HDX,1600,2560,16,1.0,339,8.9,
IPD5,Apple,iPad 5th gen,1536,2048,16,1.0,264,9.7,2017
IPD6,Apple,iPad 6th gen,1536,2048,16,1.0,264,9.7,2018
IPD7,Apple,iPad 7th gen,1620,2160,16,1.0,264,10.2,2019
IPD8,Apple,iPad 8th gen,1620,2160,16,1.0,264,10.2,2020
IPD9,Apple,iPad 9th gen,1620,2160,16,1.0,264,10.2,2021
IPDA2,Apple,iPad Air 2nd gen,1536,2048,16,1.0,326,9.7,2014
IPDA3,Apple,iPad Air 3rd gen,1668,2224,16,1.0,264,10.5,2019
IPDA4,Apple,iPad Air 4th gen,1640,2360,16,1.0,264,10.9,2020
IPDA4,Apple,iPad Air 5th gen,1640,2360,16,1.0,264,10.9,2022
IPDM3,Apple,iPad Mini 3rd gen,1536,2048,16,1.0,264,7.9,2014
IPDM3,Apple,iPad Mini 4th gen,1536,2048,16,1.0,326,7.9,2015
IPDM4,Apple,iPad Mini 5th gen,1536,2048,16,1.0,326,7.9,2019
IPDM6,Apple,iPad Mini 6th gen,1488,2266,16,1.0,326,8.3,2019
IPDP1S,Apple,iPad Pro 9.7in 1st gen,1536,2048,16,1.0,264,9.7,2016
IPDP1L,Apple,iPad Pro 12.9in 1st gen,2048,2732,16,1.0,264,12.9,2015
IPDP2S,Apple,iPad Pro 10.5in 2nd gen,1668,2224,16,1.0,264,10.5,2017
IPDP2L,Apple,iPad Pro 12.9in 2nd gen,2048,2732,16,1.0,264,12.9,2017
IPDP3S,Apple,iPad Pro 11in 3rd gen,1668,2388,16,1.0,264,11.0,2018
IPDP3L,Apple,iPad Pro 12.9in 3rd gen,2048,2732,16,1.0,264,12.9,2018
IPDP4S,Apple,iPad Pro 11in 4th gen,1668,2388,16,1.0,264,11.0,2020
IPDP4L,Apple,iPad Pro 12.9in 4th gen,2048,2732,16,1.0,264,12.9,2020
IPDP5S,Apple,iPad Pro 11in 5th gen,1668,2388,16,1.0,264,11.0,2021
IPDP5L,Apple,iPad Pro 12.9in 5th gen,2048,2732,16,1.0,264,12.9,2021
K578,Kindle,Kindle (all),600,800,16,1.8,167,6.0,
K578,Kindle,Kindle 8th gen,600,800,16,1.8,167,6.0,2016
K578,Kindle,Kindle 10th gen,600,800,16,1.8,167,6.0,2019
KV,Kindle,Oasis 1st gen,1080,1440,16,1.8,300,6.0,2016
KV,Kindle,Paperwhite 3rd gen,1080,1430,16,1.8,300,6.0,2015
KV,Kindle,Paperwhite 4th gen,1080,1430,16,1.8,300,6.0,2018
KPW5,Kindle,Paperwhite 5,1236,1648,16,1.8,300,6.8,2021
KV,Kindle,Voyage,1080,1430,16,1.8,300,6.0,2014
KoAH2O,Kobo,Aura H2O,1080,1430,16,1.8,265,6.8,2014
KoA,Kobo,Aura Edition 2,768,1024,16,1.8,212,6.0,2016
KoAO,Kobo,Aura One,1404,1872,16,1.8,300,7.8,2016
KoAHD,Kobo,Aura H2O Edition 2,1080,1440,16,1.8,265,6.8,2017
KoC,Kobo,Clara HD,1072,1448,16,1.8,300,6.0,2018
KoE,Kobo,Elipsa,1404,1872,16,1.8,227,10.3,2021
KoF,Kobo,Forma,1440,1920,16,1.8,300,8.0,2018
KoGHD,Kobo,Glo HD,1072,1448,16,1.8,300,6.0,2015
